,Emp34Id,EmpLastName,EmpFirstName,EmpLocationDesc,facility_city,facility_state,facility_zip,EmpDepartment,EmpDepartmentName,EmpPositionDesc,MgrTitle,Mgr34Id,EmpRNExperienceDate,latitude,longitude
120266,f2c98be4-23aa-4778-a265-a7c44c7997aa,Schaefer,Edglady,Ogden Regional Medical Center,Ogden,UT,84405.0,61017,Medical Unit,Resident I Graduate Nurse,Mgr Med/Surg,c7d4e377-f155-4f43-97ab-2548f073315f,9/23/2024,41.1739,-111.9809
120276,acc08792-5751-4549-ae8a-d1bf7d01d8f8,Bauch,Kentrell,Ogden Regional Medical Center,Ogden,UT,84405.0,70117,Operating Room,OR RN,Mgr Surgery,be912d8d-8331-4dcf-ada3-dce7b0113685,10/1/2018,41.1739,-111.9809
120306,1c4ff32f-ce6d-4339-b9c5-df8893747c4e,Johns,Hoyte,Lone Peak Hospital,Draper,UT,84020.0,66014,Postpartum/Nursery,RN Postpartum/Newborn Nursery,Mgr L&D,108c8e6d-4f0d-45ad-b0fa-1c17c26f75b5,1/30/2023,40.5046,-111.881
120363,826e1b8e-00e6-43e2-9442-00390f99590d,Hammes,Bb-alexandria,St Marks Hospital,Salt Lake City,UT,84124.0,70416,Recovery Room,RN,Mgr PACU,ef05de51-3b66-491e-964b-528f18fa6e30,7/9/2007,40.6772,-111.8133
120387,b105f3ce-80f6-4e00-956c-7bafa895fefc,Cronin,Baby-shelly,Timpanogos Regional Medical Ct,Orem,UT,84059.0,66018,Mother Baby,RN,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,9/17/2023,40.177,-111.536
120435,6e08a152-ba96-4003-a4f1-bca55d1caad4,Lemke,Arnold,Lakeview Hospital,Bountiful,UT,84010.0,78620,Same Day Surgery,RN,Dir Surgical Svcs,d12bf860-ce79-4906-8495-b3fd3bd48452,3/18/2012,40.8775,-111.8727
120474,12637cab-861c-4e52-86e5-00efbd8030e3,Koelpin,Feleycha,Lone Peak Hospital,Draper,UT,84020.0,70414,Recovery,RN,Dir Surgical Svcs,a2499dd3-1961-4482-a786-74cb6af1bd99,5/1/2000,40.5046,-111.881
120561,8dad5360-9e1c-468a-98c9-dcfa9281240a,Schneider,Bipinkumar,Ogden Regional Medical Center,Ogden,UT,84405.0,61017,Medical Unit,Resident II Registered Nurse,Mgr Med/Surg,c7d4e377-f155-4f43-97ab-2548f073315f,9/18/2023,41.1739,-111.9809
120621,11187924-492e-4a75-b2a9-72990cb0c169,Hoeger,Denecha,Lone Peak Hospital,Draper,UT,84020.0,61414,Surgical,Resident II Registered Nurse,Mgr Med/Surg,213a39d7-b60a-4bcf-8347-a85c3f535f31,6/17/2024,40.5046,-111.881
120661,e1d4c64b-d8fb-48b3-93af-7c4c74019e6e,Mills,Karris,Timpanogos Regional Medical Ct,Orem,UT,84059.0,61518,Ortho,Resident II Registered Nurse,Dir Med/Surg,fe8f20e1-bcae-4500-916f-0e6f98af2ac2,9/9/2024,40.177,-111.536
120696,ef4c1e11-b2eb-4d20-892b-8595c8e535ed,Cummings,Mychael,St Marks Hospital,Salt Lake City,UT,84124.0,70416,Recovery Room,RN PRN,Mgr PACU,ef05de51-3b66-491e-964b-528f18fa6e30,10/31/2009,40.6772,-111.8133
120719,f66dccb7-e25c-4bce-9398-8f4ad096016d,Schulist,Balsam,Timpanogos Regional Medical Ct,Orem,UT,84059.0,65018,ICU/CCU,Resident I Graduate Nurse,Dir Critical Care,f24c274b-abd2-4238-b482-4868ddb759c7,9/9/2024,40.177,-111.536
120746,42be3e9f-7c8a-4168-af50-20fe6ddcc7df,Bechtelar,Sakiah,Ogden Regional Medical Center,Ogden,UT,84405.0,65017,Intensive Care Unit,RN,Mgr Critical Care,e20aa9c2-e5eb-4026-9b2f-fdbd24edce74,5/20/2024,41.1739,-111.9809
120853,10d814df-ac85-4dee-8d00-b0f5ce9286de,Mayert,Ameriah,Ogden Regional Medical Center,Ogden,UT,84405.0,78517,Single Day Surgery,RN,Mgr PACU,7b921ba9-d29b-4514-9b0e-9996cbcb1b8f,3/6/2016,41.1739,-111.9809
120882,4a02d18f-2ada-4279-8881-f704774cea73,Ritchie,Arita,Lone Peak Hospital,Draper,UT,84020.0,70714,Labor Delivery,RN,Mgr L&D,108c8e6d-4f0d-45ad-b0fa-1c17c26f75b5,5/16/2011,40.5046,-111.881
120887,7f881a65-c23d-406e-a46f-94e362631be5,Wyman,Molly,Timpanogos Regional Medical Ct,Orem,UT,84059.0,64518,PICU,RN,Dir Womens/Childrens Svc,909df9a4-4d43-4294-b5a3-0974a478c67a,5/8/2005,40.177,-111.536
120922,6ef6a67c-58eb-4107-b2cd-f5cbadb80f6f,Carroll,Baby-daijana,St Marks Hospital,Salt Lake City,UT,84124.0,78016,Emergency Care,Resident I Graduate Nurse,Dir Emergency Svcs,b39875f8-1d36-4299-afb0-66a0b9835744,9/9/2024,40.6772,-111.8133
120923,3a27b073-ba38-4c0f-9088-3f3abd6774a9,Stehr,Cuahtemoc,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70718,Labor & Delivery,RN,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,8/7/2007,40.177,-111.536
120961,72f8fc67-5e28-4e43-be80-6c2f2ceaad6c,Abshire,Chiquithia,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,RN,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,6/5/2018,40.6772,-111.8133
121037,9690b5c6-ccc3-4b99-afef-13298a73c42c,Breitenberg,Helda,Timpanogos Regional Medical Ct,Orem,UT,84059.0,64518,PICU,RN,Dir Womens/Childrens Svc,909df9a4-4d43-4294-b5a3-0974a478c67a,2/21/2022,40.177,-111.536
121080,c39681ec-88c5-4d16-be5c-c1a555de6e5f,Emard,Norshawn,St Marks Hospital,Salt Lake City,UT,84124.0,60816,Patient Unit 5S Ortho/Trauma,RN,Mgr Ortho/Trauma,2169637b-b847-432e-8ac4-04aa4b257ee0,1/24/2016,40.6772,-111.8133
121111,1ae3ce1f-04dd-4038-8366-20295108bdef,Thompson,Gaspare,Timpanogos Regional Medical Ct,Orem,UT,84059.0,66018,Mother Baby,RN,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,6/6/2008,40.177,-111.536
121155,e0b5ad9c-a8ce-4a12-b95d-c15bb1e89d6e,Lindgren,Onelio,Ogden Regional Medical Center,Ogden,UT,84405.0,67517,Neonatal Intensive Care Unit,RN,Mgr Pediatric ICU/NICU,b6f6b3e7-4226-461b-8c59-2998933facd4,9/16/2023,41.1739,-111.9809
121212,314091e9-21ba-44fb-9414-8663a6092ea8,Langworth,Peronita,Lakeview Hospital,Bountiful,UT,84010.0,78620,Same Day Surgery,RN,Dir Surgical Svcs,d12bf860-ce79-4906-8495-b3fd3bd48452,3/1/2021,40.8775,-111.8727
121220,5268ea29-a5ef-4e0a-9072-8a2ca6ba0cf8,Abbott,Parkie,Lone Peak Hospital,Draper,UT,84020.0,70714,Labor Delivery,RN,Mgr L&D,108c8e6d-4f0d-45ad-b0fa-1c17c26f75b5,11/14/2018,40.5046,-111.881
121254,57c83fe9-63bb-45f1-bdaa-be7404344f85,Bechtelar,Lyonel,Timpanogos Regional Medical Ct,Orem,UT,84059.0,60118,Nursing Administration,Supv House Admin PRN,CNO,b688b7ff-1eef-4e8f-a2ea-7f9df3dd465a,9/13/2015,40.177,-111.536
121255,57c83fe9-63bb-45f1-bdaa-be7404344f85,Breitenberg,Melmoth,Timpanogos Regional Medical Ct,Orem,UT,84059.0,78018,Emergency Room,Clin Nurse Coord,Dir Emergency Svcs,6c740fb9-da66-4cdc-add2-8329acd11c92,9/13/2015,40.177,-111.536
121291,58561ff8-66f9-4614-908f-d5cdf6b41adc,Toy,Brittane,St Marks Hospital,Salt Lake City,UT,84124.0,77316,Same Day Surgery,RN,Dir Surgery,c5b0b70e-68e2-459d-bab7-2f5a8a679819,6/29/2007,40.6772,-111.8133
121334,446e4660-34c9-42ac-ada4-8e7d1aa70534,McKenzie,Adriano,Ogden Regional Medical Center,Ogden,UT,84405.0,61017,Medical Unit,Resident II Registered Nurse,Mgr Med/Surg,c7d4e377-f155-4f43-97ab-2548f073315f,6/17/2024,41.1739,-111.9809
121335,96cb9257-862d-4c85-b5d5-2ec053418d6b,Ledner,Henan,Lone Peak Hospital,Draper,UT,84020.0,70114,Surgery,OR RN Level 2 PRN,Mgr Surgery,ab3e867b-4ed5-4d07-88c0-399a23ba2147,6/10/2021,40.5046,-111.881
121392,49c5a9e2-17b5-4092-95a9-20271af1533f,Schulist,Curley,St Marks Hospital,Salt Lake City,UT,84124.0,73316,Endoscopy,RN PRN,Dir Surgery,c5b0b70e-68e2-459d-bab7-2f5a8a679819,6/13/2022,40.6772,-111.8133
121405,b11dc2c3-7456-40f2-8d7b-1719f8f28d44,Aufderhar,Keyshonda,Lone Peak Hospital,Draper,UT,84020.0,66014,Postpartum/Nursery,Resident II Registered Nurse,Mgr L&D,108c8e6d-4f0d-45ad-b0fa-1c17c26f75b5,9/23/2024,40.5046,-111.881
121425,0d801828-4a2a-4c2e-8a0d-ee7459ce3b7b,Johnston,Alem,Ogden Regional Medical Center,Ogden,UT,84405.0,72717,Special Procedures,RN PRN,Dir Cardiovascular Svcs,f1d187b7-ff97-486f-86fe-2221ffb73df6,1/8/2020,41.1739,-111.9809
121463,9fa5160d-f40d-49a4-91e8-7142bb10d236,Huel,Szymon,Lone Peak Hospital,Draper,UT,84020.0,67514,NICU,RN NICU,Dir Neonatal ICU,4180173d-273b-4f54-9b62-857bc4574ec3,8/31/2017,40.5046,-111.881
121607,dbdd2117-ca7d-43ee-9698-f8d87322bb91,Kilback,Ahmi,Ogden Regional Medical Center,Ogden,UT,84405.0,64017,Pediatrics Unit,RN,Mgr Pediatric ICU/NICU,b6f6b3e7-4226-461b-8c59-2998933facd4,5/2/2022,41.1739,-111.9809
121628,73261bbe-7703-4678-8a56-f551ebbda10c,Smitham,Qwintril,St Marks Hospital,Salt Lake City,UT,84124.0,64716,Progressive Care Unit,RN,Mgr Progressive Care,31bfc4ed-7583-439f-b659-1d5b2a9a83bb,4/30/2018,40.6772,-111.8133
121664,2c3ac112-67be-4f06-8151-1daf5a7a6e5f,Zemlak,Bb-jania,Timpanogos Regional Medical Ct,Orem,UT,84059.0,78718,FSED,RN PRN,Mgr Emergency Svcs FSED,3af6d3f8-804a-4a54-97e7-fee3e4620465,2/14/2014,40.177,-111.536
121702,f6ca25c7-f028-4033-8984-e650d3a14d94,Ferry,Ibiana,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70718,Labor & Delivery,RN PRN,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,1/20/2006,40.177,-111.536
121712,c4b1d80a-2be8-4346-92dd-99391386ad00,Glover,Kiall,Brigham City Comm Hospital,Brigham City,UT,84302.0,78019,Emergency Department,RN PRN,CNO,6b5bc097-29ae-450b-ac8c-860ad819559d,5/8/2009,41.5079,-112.0152
121718,30637ae8-9ac1-4eb0-a107-ebcfea06df37,Smitham,Alejandro,St Marks Hospital,Salt Lake City,UT,84124.0,61016,Med/Surg Women's Pavilion,Resident II Registered Nurse,Mgr Ortho/Trauma,2169637b-b847-432e-8ac4-04aa4b257ee0,9/9/2024,40.6772,-111.8133
121721,81edddd2-b017-403d-95ec-4d5b4e0d0891,Bartell,Bb-yilaidys,St Marks Hospital,Salt Lake City,UT,84124.0,60916,Patient Unit 5N CMSU,RN PRN,Mgr Med/Surg,b6d52fe2-e14a-4e50-9521-8e908e80e2e8,,40.6772,-111.8133
121725,39e98f9c-39f6-434c-b521-83e1d49fe4cc,O'Connell,Dominico,St Marks Hospital,Salt Lake City,UT,84124.0,78016,Emergency Care,Resident II Registered Nurse,Dir Emergency Svcs,b39875f8-1d36-4299-afb0-66a0b9835744,6/10/2024,40.6772,-111.8133
121730,6b726a01-a31c-4fb0-a171-2526cc181023,Rodriguez,Tylaisha,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70718,Labor & Delivery,Resident I Graduate Nurse,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,9/23/2024,40.177,-111.536
121772,9efae74e-d0f8-4940-99ba-378611a7d815,Hettinger,Elwin,St Marks Hospital,Salt Lake City,UT,84124.0,66016,Patient Unit OB/GYN,RN PRN,Mgr OB,5a101d54-0aa2-4fbe-a132-b518a8e9d298,1/30/2023,40.6772,-111.8133
121779,f6ae9418-2916-4ac0-9cb6-003afeeffba4,Huels,Hosie,Lone Peak Hospital,Draper,UT,84020.0,78614,Pre-Op,RN,Dir Surgical Svcs,a2499dd3-1961-4482-a786-74cb6af1bd99,3/18/1996,40.5046,-111.881
121867,1f81186e-6818-45a7-837e-40f28dc3922e,O'Keefe,Terrus,St Marks Hospital,Salt Lake City,UT,84124.0,66016,Patient Unit OB/GYN,RN,Mgr OB,5a101d54-0aa2-4fbe-a132-b518a8e9d298,,40.6772,-111.8133
121884,83c55032-57ad-401f-8023-7326b58af67e,O'Conner,Stefanny,St Marks Hospital,Salt Lake City,UT,84124.0,78216,West Valley FSED,RN,Dir Emergency Svcs,b39875f8-1d36-4299-afb0-66a0b9835744,3/4/2008,40.6772,-111.8133
121898,457efd9b-1a24-453f-96e9-d7b03c2dff1e,Legros,Mathurin,St Marks Hospital,Salt Lake City,UT,84124.0,65616,Patient Unit Behavioral Health,Resident I Graduate Nurse,Dir Behavioral Health,,9/9/2024,40.6772,-111.8133
121943,ad995086-c897-4c33-afef-0852186634ff,Russel,Jaisie,Ogden Regional Medical Center,Ogden,UT,84405.0,75517,Wound Care & Hyperbaric Med,RN,Dir Hyperbaric/Wound Care,a774469a-d87f-4af5-9b5a-9e314fb599bd,4/29/2024,41.1739,-111.9809
121973,3ecd8484-dfe5-4697-b19d-25a75c27249d,Brown,Elsamarie,Lakeview Hospital,Bountiful,UT,84010.0,78620,Same Day Surgery,RN PRN,Dir Surgical Svcs,d12bf860-ce79-4906-8495-b3fd3bd48452,5/17/2010,40.8775,-111.8727
121990,754b3750-cb88-4665-b5a7-9301a2317774,Gusikowski,Savary,Brigham City Comm Hospital,Brigham City,UT,84302.0,75519,Wound Care,RN PRN,Dir Hyperbaric/Wound Care,e2bc618c-6b61-4dfe-989a-49c7da985528,5/29/2019,41.5079,-112.0152
121997,15ce674a-a579-4804-9815-de7a09e74ece,Bosco,Tavon,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,Clin Nurse Coord,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,7/30/2011,40.6772,-111.8133
122141,4daa1fe9-b624-4053-a7cb-d0d4bdda2720,Kirlin,Kelaycea,Timpanogos Regional Medical Ct,Orem,UT,84059.0,67518,NICU,RN,Dir Womens/Childrens Svc,909df9a4-4d43-4294-b5a3-0974a478c67a,9/18/2022,40.177,-111.536
122142,88c43cf8-21ec-4a42-8269-d21f96814074,Quitzon,Marlys,Lone Peak Hospital,Draper,UT,84020.0,70414,Recovery,RN,Dir Surgical Svcs,a2499dd3-1961-4482-a786-74cb6af1bd99,3/19/2015,40.5046,-111.881
122178,7ab08593-d6bb-4931-8b7c-69011afdfec9,Krajcik,Kaymarion,Lakeview Hospital,Bountiful,UT,84010.0,65020,ICU CCU,RN,Mgr Critical Care,72a574f5-dbba-4df9-a73e-ac13cbf09fbf,5/8/2017,40.8775,-111.8727
122183,176fe0bd-40ff-43c2-9394-c64e25375b28,Kirlin,Jacksung,Brigham City Comm Hospital,Brigham City,UT,84302.0,78019,Emergency Department,RN,CNO,6b5bc097-29ae-450b-ac8c-860ad819559d,5/31/2016,41.5079,-112.0152
122275,b99c774a-0fb0-4e1d-b66f-0996d2534d51,Kuhic,Alen,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,RN,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,4/22/2023,40.6772,-111.8133
122276,19d49ca1-11a6-4d12-b41b-043d4dbc8a5a,Morissette,Latrinise,St Marks Hospital,Salt Lake City,UT,84124.0,60916,Patient Unit 5N CMSU,Resident II Registered Nurse,Mgr Med/Surg,b6d52fe2-e14a-4e50-9521-8e908e80e2e8,1/21/2024,40.6772,-111.8133
122367,68465e52-84d1-46fc-92bf-1a734139b130,Schneider,Trinity,St Marks Hospital,Salt Lake City,UT,84124.0,78216,West Valley FSED,RN,Dir Emergency Svcs,b39875f8-1d36-4299-afb0-66a0b9835744,5/22/2015,40.6772,-111.8133
122395,73c9ee31-2cfb-48b2-a93e-5ba9d27e1404,Balistreri,Gardner,Ogden Regional Medical Center,Ogden,UT,84405.0,75517,Wound Care & Hyperbaric Med,RN PRN,Dir Hyperbaric/Wound Care,a774469a-d87f-4af5-9b5a-9e314fb599bd,1/22/2016,41.1739,-111.9809
122572,618d563c-3c92-496d-b5bb-789606b5e394,Considine,Fosstina,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70418,Recovery,RN,Dir Surgical Svcs,932e1d5b-faf6-40ee-9de9-ca3c5a1c246b,11/5/2009,40.177,-111.536
122576,a1c096e5-212a-4448-8278-039a044716b5,Mills,Shanine,Ogden Regional Medical Center,Ogden,UT,84405.0,78517,Single Day Surgery,RN PRN,Mgr PACU,7b921ba9-d29b-4514-9b0e-9996cbcb1b8f,10/1/1999,41.1739,-111.9809
122654,60c05916-bf9c-408d-be04-defa9861290b,Hand,Kesavalu,Timpanogos Regional Medical Ct,Orem,UT,84059.0,60218,Nursing Float Pool,RN Float Pool,Dir Med/Surg,fe8f20e1-bcae-4500-916f-0e6f98af2ac2,1/24/2022,40.177,-111.536
122764,083e5959-f7cf-4e5c-87fe-f2c3f1915c31,Halvorson,Sixth-130,Brigham City Comm Hospital,Brigham City,UT,84302.0,70119,Operating Room,OR RN II,Dir Surgical Svcs,f64733e1-0559-4dcf-88e4-f81bc85d3443,10/31/2021,41.5079,-112.0152
122857,e0c354b9-0a3d-4c1e-9ccc-600135c629a6,Reilly,Berthony,Ogden Regional Medical Center,Ogden,UT,84405.0,69317,Acute Rehab Center,RN PRN,Mgr Rehab Unit,6d234de4-d345-41e3-82f0-791d8725d600,2/23/2016,41.1739,-111.9809
122949,f0997f44-5d7b-43dc-8622-c7499f14da53,Haley,Demonterious,St Marks Hospital,Salt Lake City,UT,84124.0,64716,Progressive Care Unit,Resident I Graduate Nurse,Mgr Progressive Care,31bfc4ed-7583-439f-b659-1d5b2a9a83bb,6/10/2024,40.6772,-111.8133
122973,be6fcba8-6129-43ee-95a6-ee20723a5d5d,Bernhard,Lynsi,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,RN,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,5/7/2020,40.6772,-111.8133
123033,430e0076-6db1-422d-9a0e-46099a1fa9eb,Wolf,Blaire,St Marks Hospital,Salt Lake City,UT,84124.0,67516,NICU,RN,Dir Neonatal ICU,2f0776b0-0b33-45c3-80d6-ec611cdf03a6,10/10/2016,40.6772,-111.8133
123147,7935a89b-9f92-411e-a67c-5ab58a4013d7,Nikolaus,Bb-shadae,Timpanogos Regional Medical Ct,Orem,UT,84059.0,67518,NICU,RN PRN,Dir Womens/Childrens Svc,909df9a4-4d43-4294-b5a3-0974a478c67a,2/11/2022,40.177,-111.536
123149,a7e2e73e-af98-4fc8-9e9d-6e0f039d4a96,Torphy,Perikli,Ogden Regional Medical Center,Ogden,UT,84405.0,78717,Ogden North FSED,RN,Mgr Emergency Svcs FSED,9f930da1-49b7-43bd-9042-cc96bce75f8c,3/19/2022,41.1739,-111.9809
123241,9df2d7a3-65a7-48a9-b78f-4204e4b46c6b,D'Amore,Demekia,Lone Peak Hospital,Draper,UT,84020.0,78614,Pre-Op,Clin Nurse Coord,Dir Surgical Svcs,a2499dd3-1961-4482-a786-74cb6af1bd99,8/5/2018,40.5046,-111.881
123307,50b8d86e-1f03-43bc-a943-147972f51889,Hickle,Shamil,Lakeview Hospital,Bountiful,UT,84010.0,70720,Labor Delivery,RN,Dir Womens Svcs,8461e3ad-a0b5-4d68-b3f6-f7c913d1ac84,6/29/2006,40.8775,-111.8727
123319,cc7bf896-0908-4591-93c4-c159069a8ba2,Orn,Dha'kari,Ogden Regional Medical Center,Ogden,UT,84405.0,67517,Neonatal Intensive Care Unit,RN,Mgr Pediatric ICU/NICU,b6f6b3e7-4226-461b-8c59-2998933facd4,6/21/1999,41.1739,-111.9809
123365,a57a3142-8f67-4e03-8598-69178cbe5af9,Jones,Coraliz,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,RN Spec,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,3/7/2021,40.6772,-111.8133
123505,0c20e0e3-2b77-4fed-ae87-ee11e9bdfc31,Lakin,Honoria,St Marks Hospital,Salt Lake City,UT,84124.0,66016,Patient Unit OB/GYN,RN PRN,Mgr OB,5a101d54-0aa2-4fbe-a132-b518a8e9d298,,40.6772,-111.8133
123536,02e3cb24-b561-4456-8ca2-430746558147,Ortiz,Mckinzey,Ogden Regional Medical Center,Ogden,UT,84405.0,61417,Surgical Unit,RN,Mgr Med/Surg,14fbc715-3be5-42f8-9efd-e3b0f9f64584,,41.1739,-111.9809
123539,e4ce9eec-06bc-4bdc-9a8e-0e6d723f80d4,Jakubowski,Patty,St Marks Hospital,Salt Lake City,UT,84124.0,77316,Same Day Surgery,RN PRN,Dir Surgery,c5b0b70e-68e2-459d-bab7-2f5a8a679819,7/25/2015,40.6772,-111.8133
123573,a1a2189d-409e-48cd-ad67-5369685adc56,Schiller,Bb-chantelle,Timpanogos Regional Medical Ct,Orem,UT,84059.0,72718,Specials Lab,RN,Dir Critical Care,f24c274b-abd2-4238-b482-4868ddb759c7,10/7/2022,40.177,-111.536
123574,ae368dab-13ba-435c-b36a-e0a369b2d867,McDermott,Shiann,Lone Peak Hospital,Draper,UT,84020.0,70414,Recovery,RN,Dir Surgical Svcs,a2499dd3-1961-4482-a786-74cb6af1bd99,10/17/2014,40.5046,-111.881
123755,9d0e1150-566a-40e2-b80a-c038beb41f17,Turcotte,Devereaux,Ogden Regional Medical Center,Ogden,UT,84405.0,61017,Medical Unit,Resident I Graduate Nurse,Mgr Med/Surg,c7d4e377-f155-4f43-97ab-2548f073315f,9/23/2024,41.1739,-111.9809
123783,85cc8a83-82c9-48ec-9bcf-36787b3471e3,Cartwright,Ronnesha,Lone Peak Hospital,Draper,UT,84020.0,70114,Surgery,Resident II Registered Nurse,Mgr Surgery,ab3e867b-4ed5-4d07-88c0-399a23ba2147,11/7/2022,40.5046,-111.881
123803,7fa39254-5df4-4b59-9eef-fbefd680f27d,Miller,Tramira,Lone Peak Hospital,Draper,UT,84020.0,61414,Surgical,RN,Mgr Med/Surg,213a39d7-b60a-4bcf-8347-a85c3f535f31,7/24/2021,40.5046,-111.881
123833,886fe77d-4c0f-4b1e-aced-f547e2a476dc,Bradtke,Tarieg,Ogden Regional Medical Center,Ogden,UT,84405.0,65617,Psych,Clin Nurse Coord,Mgr Behavioral Health Nursing,25b9169a-47e0-4215-a916-590696536e8e,6/13/2022,41.1739,-111.9809
123843,e75a550b-e15b-4ef0-984f-19ce5ee7bb56,Boehm,Lavonda,Ogden Regional Medical Center,Ogden,UT,84405.0,64017,Pediatrics Unit,RN,Mgr Pediatric ICU/NICU,b6f6b3e7-4226-461b-8c59-2998933facd4,5/31/2020,41.1739,-111.9809
123937,9cd38568-a921-4c86-8c9f-db734537a35c,Predovic,Jewell,Brigham City Comm Hospital,Brigham City,UT,84302.0,74219,Cardiac Rehabilitation,RN Cardiac Rehab Coord,Dir Cardiopulm Rehab/PT/ST,29e85b7f-4fa7-45bd-8cda-cb5758f74db5,5/8/2004,41.5079,-112.0152
124021,19bc436c-3ee2-49d1-958f-12b7baf13c80,Heidenreich,Koree,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70718,Labor & Delivery,RN,Dir Womens Svcs,19557587-605c-4bb4-bd14-0f10e63a7a9c,1/24/2022,40.177,-111.536
124086,bcd9fa71-392d-4878-ae2d-1749e7fecc6d,Bayer,Tresor,Ogden Regional Medical Center,Ogden,UT,84405.0,75517,Wound Care & Hyperbaric Med,RN,Dir Hyperbaric/Wound Care,a774469a-d87f-4af5-9b5a-9e314fb599bd,4/9/2021,41.1739,-111.9809
124133,beb5049c-e2db-4952-a06a-c009b11fed68,Huels,Annielly,Timpanogos Regional Medical Ct,Orem,UT,84059.0,74618,Cardiac Cath Lab,RN PRN,Dir Critical Care,f24c274b-abd2-4238-b482-4868ddb759c7,12/5/2008,40.177,-111.536
124175,16dfbbe6-e233-4f29-b2ca-609e248dec4c,Simonis,Walden,Ogden Regional Medical Center,Ogden,UT,84405.0,61417,Surgical Unit,RN,Mgr Med/Surg,14fbc715-3be5-42f8-9efd-e3b0f9f64584,9/18/2023,41.1739,-111.9809
124194,882784a7-fa9d-4681-af3b-9a76de513ac9,Farrell,Tannielle,St Marks Hospital,Salt Lake City,UT,84124.0,65016,Patient Unit ICU CCU,RN,Mgr Critical Care ICU,ca80d56e-995d-4b0d-bb2d-330f4cc55160,4/23/2021,40.6772,-111.8133
124227,687e66ca-ff08-49a9-b07f-2f150b62e55c,Howe,Elmin,St Marks Hospital,Salt Lake City,UT,84124.0,74616,Cardiac Cath Lab,Clin Nurse Coord CRU,Dir Cardiac Cath Lab,146568a3-0669-432e-9baa-3fcd68df43e2,6/17/2019,40.6772,-111.8133
124241,4b5305dc-955b-466f-a2f9-18e37683dc4d,Dickinson,Dell,St Marks Hospital,Salt Lake City,UT,84124.0,67516,NICU,RN,Dir Neonatal ICU,2f0776b0-0b33-45c3-80d6-ec611cdf03a6,2/18/2020,40.6772,-111.8133
124346,21c29651-2975-4e53-bcae-ea6b228521f6,Cremin,Letrice,St Marks Hospital,Salt Lake City,UT,84124.0,64716,Progressive Care Unit,RN PRN,Mgr Progressive Care,31bfc4ed-7583-439f-b659-1d5b2a9a83bb,7/29/2008,40.6772,-111.8133
124474,7973b6f3-1f01-43c3-84b6-52592eb4cf8d,Koss,Buay,Lone Peak Hospital,Draper,UT,84020.0,67514,NICU,RN NICU,Dir Neonatal ICU,4180173d-273b-4f54-9b62-857bc4574ec3,10/18/2017,40.5046,-111.881
124562,83af5c87-52e9-42de-bb2c-5267243891d2,Stroman,Tenedra,Timpanogos Regional Medical Ct,Orem,UT,84059.0,70118,Surgery,Clin Nurse Coord,Dir Surgical Svcs,932e1d5b-faf6-40ee-9de9-ca3c5a1c246b,9/26/2014,40.177,-111.536
124623,20960884-5110-4a90-b68b-768ad6debcc7,Windler,Hannelore,Timpanogos Regional Medical Ct,Orem,UT,84059.0,74618,Cardiac Cath Lab,Resident I Graduate Nurse,Dir Critical Care,f24c274b-abd2-4238-b482-4868ddb759c7,9/9/2024,40.177,-111.536
124683,c453efe9-2436-472a-9c1d-37d4c52899f3,Pouros,Glendon,Lone Peak Hospital,Draper,UT,84020.0,70114,Surgery,OR RN level 2,Mgr Surgery,ab3e867b-4ed5-4d07-88c0-399a23ba2147,11/10/2021,40.5046,-111.881
124689,f17280b8-e277-4488-b48f-7ae21b46d403,Harber,Trayvian,Timpanogos Regional Medical Ct,Orem,UT,84059.0,67518,NICU,RN PRN,Dir Womens/Childrens Svc,909df9a4-4d43-4294-b5a3-0974a478c67a,6/13/2022,40.177,-111.536
124691,fcaae92d-e9e1-4551-96c8-ad0e5caec20c,Hermiston,Born,Lone Peak Hospital,Draper,UT,84020.0,70114,Surgery,OR RN level 2,Mgr Surgery,ab3e867b-4ed5-4d07-88c0-399a23ba2147,6/13/2018,40.5046,-111.881
